index,tweet,tweettype
137,That way ur so angry you can literally feel ur blood boiling,anger
138,@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger
139,My mind is raging and i just want to end it all,anger
140,Absolutely fuming that some woman jumped into my prebooked taxi and drove off ðŸ˜¡,anger
141,I'm nothing but a hateful and bitter fag,anger
142,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger
143,@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger
144,@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger
145,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger
146,So angry I wanna cryðŸ˜¢ðŸ˜¢ðŸ˜¢,anger
147,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH,anger
148,Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger
149,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger
150,my mom cut my phone off and I'm so furious ðŸ¤—,anger
151,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger
152,can't believe Achilles killed me! #angry,anger
153,I lost a couple niggas I want revenge so put me in coach,anger
154,@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you ðŸ˜•,anger
155,Where's your outrage when a black man kills another black man in the streets?,anger
156,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger
157,Absolutely fuming I've just scratched all my car ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡,anger
158,@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger
159,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,anger
160,I dislike people who get offended by the littlest shit .,anger
161,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger
162,"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger
163,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger
164,@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger
165,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger
166,"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger
167,Just paid for chicken at @panerabread and didn't even get any ðŸ˜‘ðŸ˜‘ðŸ˜‘ there goes 4 dollars and me as a customer #angry,anger
168,but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger
169,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger
170,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger
171,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger
172,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't!,anger
173,@ChurdAllan fucked my coupon that goal! #raging,anger
174,LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger
175,"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger
176,Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,anger
177,Your twitter picture just makes me fume.,anger
178,"@leesyatt you are a cruel, cruel man. #therewillbeblood",anger
179,"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger
180,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger
181,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,anger
182,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger
183,@politico @realDonaldTrump another angry white man!,anger
184,Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger
185,"The majority of people irritate the fuck out of me, cba with people ahahah",anger
186,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger
187,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!!,anger
188,@kingvee_ don't provoke me to anger,anger
189,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger
190,Bloods boiling,anger
191,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
192,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger
193,I swear if @devincameron23 blocks me I'm going to hit her back,anger
194,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger
195,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger
196,I'm just a fuming ball of anger today ðŸ™ƒ,anger
197,I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger
198,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger
199,A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger
200,Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger
201,gry already,anger
202,... flat party and I instantly get bollocked about it. #fuming,anger
203,@XemitSellsMagic add tracking but resent them,anger
204,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger
205,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
206,"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger
207,@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger
208,..... wakes up and says 'have you tried changing her nappy?' ðŸ˜¡ðŸ‘ŠðŸ¼ #rage!!!!,anger
209,Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger
210,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger
211,I just love it when people make plans for me without actually including me in this process #rage,anger
212,"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger
213,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger
214,@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger
215,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger
216,@soyoprincess they irritate me. Them and their inch thick made up masks,anger
217,@ChurdAllan fucked my coupon that goal!,anger
218,How was Natalie one of the top three favorites?! #toofaced and #bitter ðŸ™„,anger
219,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger
220,@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger
221,"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger
222,..... wakes up and says 'have you tried changing her nappy?' ðŸ˜¡ðŸ‘ŠðŸ¼ !!!!,anger
223,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger
224,All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,anger
225,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger
226,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger
227,testing #angry,anger
228,@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,anger
229,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,anger
230,i was angry.,anger
231,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger
232,@cineworld 'Congratulations your Free 1 month has been activated' Then charges Â£34.80 the same month. Absolutely furious ðŸ˜¡,anger
233,@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,anger
234,straight people are canoodling on the quad and I'm #offended,anger
235,"I can definitely feel my irritation today, lord give me strength",anger
236,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„,anger
237,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,anger
238,@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger
239,I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger
240,@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,anger
241,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger
242,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen.  #loathing,anger
243,"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger
244,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ðŸ˜¡,anger
245,"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger
246,People irritate me ðŸ™„,anger
247,Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger
248,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep",anger
249,I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger
250,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ðŸ˜¡ #fuming,anger
251,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,anger
252,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks.",anger
253,Does she really need to pout all the time - getting on my nerves #GBBO,anger
254,Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger
255,@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger
256,"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",anger
257,"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger
258,@Disneyland #nothappy and still #charging the #fullprice ðŸ˜¡ðŸ˜¡ #fuming some your #bestrides ðŸ˜³ðŸ˜³,anger
259,Forgot to eat dinner and now I'm furious with everything and everyone,anger
260,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap ðŸ¤—,anger
261,"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",anger
262,Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,anger
263,@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines  #con!,anger
264,You a fuck boy if you run drag routes back to back in madden,anger
265,I got fever highs\nI got boiling blood,anger
266,@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,anger
267,I can't even right now #bb18 #rage,anger
268,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger
269,Why are people that don't have iPhones so bitter about iPhones???? Can someone explain,anger
270,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger
271,@deshbhakthoon always unhappy and easily offended.,anger
272,"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",anger
273,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger
274,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA  #oldcunt,anger
275,Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,anger
276,Not giving a fuck is better than revenge.,anger
277,@winksahoy we about to get shit on by the wrath of winter out of nowhere,anger
278,@GrxjicTank WHY though! Why did u want to offend Americans?,anger
279,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the,anger
280,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger
281,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,anger
282,Thought the Xbox one s madden bundle would come with a physical copy of madden not a codeðŸ˜´ it's gonna take fucking forever to download lol,anger
283,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,anger
284,#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger
285,The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,anger
286,@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger
287,I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger
288,Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,anger
289,Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,anger
290,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,anger
291,Can't believe I've only got 2 days off left ðŸ™„ #backtoreality #raging,anger
292,@Austin4evaLEEDS fuming!,anger
293,Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger
294,Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger
295,â€¢My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--,anger
296,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!",anger
297,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger
298,"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",anger
299,I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. ðŸ˜‘,anger
300,I don't talk about politics because people nowadays get offended easily!,anger
301,@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger
302,"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",anger
303,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger
304,"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",anger
305,I genuinely think I have anger issues,anger
306,@judy_that Im honestly offended,anger
307,Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter,anger
308,I'm so annoyed/sad YouTube is burning itself to the ground ðŸ™„ðŸ™„,anger
309,"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg",anger
310,Just paid for chicken at @panerabread and didn't even get any ðŸ˜‘ðŸ˜‘ðŸ˜‘ there goes 4 dollars and me as a customer,anger
311,"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",anger
312,When someone rudely says all women should have long hair and your inner feminist tries not to rage,anger
313,"Absolutely raging at the changes to CAS, what a joke",anger
314,Girls irritate me so much lol,anger
315,@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,anger
